,Total Meal Fares,Total Delivery Fees,Total Restaurant Commissions,Total Orders,Marketplace Fee
Restaurant 1,4212.45,727.5,1474.62,291,0.350062315
Restaurant 2,4034.32,1122.5,1107.87,449,0.274611335
Restaurant 3,156,30,54.6,12,0.35
Restaurant 4,1770.24,342.5,708.23,137,0.400075696
Restaurant 5,1367.99,142.5,478.9,57,0.350075658
Restaurant 6,414.8,102.5,145.21,41,0.350072324
Restaurant 7,540.65,65,135.21,26,0.250087857
Restaurant 8,25672.5,2685,7705.26,1074,0.300136722
Restaurant 9,8549.01,1905,3411.94,762,0.399103522
Restaurant 10,218,35,65.4,14,0.3
Restaurant 11,25476.3,2592.5,7639.23,1037,0.299856337
Restaurant 12,23065.85,2107.5,5759.52,843,0.249699014
Restaurant 13,3965.74,507.5,1375.58,203,0.346865906
Restaurant 14,9037.29,1712.5,2260.27,685,0.250104843
Restaurant 15,7080.9,1037.5,2104.77,415,0.297246113
Restaurant 16,505.5,55,126.44,22,0.250128586
Restaurant 17,18578.7,2185,5576,874,0.300128642
Restaurant 18,3310,617.5,1158.62,247,0.350036254
Restaurant 19,14741.25,3047.5,4462.53,1219,0.302723989
Restaurant 20,1298.08,325,454.59,130,0.350201837
Restaurant 21,4853.9,760,1457.48,304,0.300269886
Restaurant 22,9278,1040,2321.69,416,0.250236042
Restaurant 23,1800.91,247.5,630.52,99,0.350111888
Restaurant 24,25498.58,2637.5,6370.21,1055,0.249826069
Restaurant 25,1295.41,185,453.51,74,0.350089933
Restaurant 26,2657,555,797.54,222,0.3001656
Restaurant 27,3399.2,470,1190.1,188,0.350111791
Restaurant 28,2594.82,740,520.62,296,0.200638195
Restaurant 29,18430.9,2152.5,4608.79,861,0.250057783
Restaurant 30,1832.18,592.5,637.23,237,0.347798797
Restaurant 31,771.96,122.5,270.26,49,0.35009586
Restaurant 32,4478.09,1440,1184.69,576,0.264552521
Restaurant 33,11704.2,1382.5,3512.55,553,0.300110217
Restaurant 34,3881.6,1082.5,973.17,433,0.250713623
Restaurant 35,69714.6,6862.5,20910.3,2745,0.299941476
Restaurant 36,8209.55,1492.5,2458.65,597,0.299486574
Restaurant 37,15459.3,2170,4640.18,868,0.300154599
Restaurant 38,10910.44,2187.5,2182.93,875,0.200077174
Restaurant 39,9459.05,735,2840.69,294,0.300314514
Restaurant 40,3459.6,252.5,1210.9,101,0.350011562
Restaurant 41,5189.4,535,1556.82,214,0.3
Restaurant 42,363,122.5,117.98,49,0.325013774
Restaurant 43,6732.9,592.5,2020.44,237,0.300084659
Restaurant 44,9352.55,1107.5,2798.14,443,0.299184714
Restaurant 45,7323.5,1017.5,2562.72,407,0.349931044
Restaurant 46,705,85,211.58,34,0.300113475
Restaurant 47,36021.5,4010,8994.24,1604,0.249690879
Restaurant 48,114,27.5,39.94,11,0.350350877
Restaurant 49,1277.54,290,447.52,116,0.350298229
Restaurant 50,14492.8,1317.5,4349.83,527,0.30013731
Restaurant 51,10382.85,1165,3124.86,466,0.300963608
Restaurant 52,1239.7,140,372.05,56,0.300112931
Restaurant 53,3647.2,317.5,911.91,127,0.25003016
Restaurant 54,11843.45,2477.5,2962.65,991,0.250150927
Restaurant 55,51968.4,7487.5,15595.63,2995,0.300098329
Restaurant 56,16759.83,3825,3353.9,1530,0.200115395
Restaurant 57,12559.8,3035,3767.22,1214,0.299942674
Restaurant 58,2610.7,485,783.21,194,0.3
Restaurant 59,504,67.5,129.3,27,0.256547619
Restaurant 60,233.75,97.5,81.86,39,0.350203209
Restaurant 61,5278.4,745,1577.76,298,0.29890876
Restaurant 62,581.05,85,145.3,34,0.250064538
Restaurant 63,10008,822.5,2502.66,329,0.250065947
Restaurant 64,4034,387.5,1008.89,155,0.250096678
Restaurant 65,6003.45,597.5,1801.61,239,0.300095778
Restaurant 66,571.5,62.5,142.9,25,0.250043745
Restaurant 67,3299.6,180,990.08,72,0.300060613
Restaurant 68,11714.5,1830,2934.21,732,0.25047676
Restaurant 69,3562.65,670,1247.26,268,0.350093329
Restaurant 70,6089.85,1327.5,1822.62,531,0.29928816
Restaurant 71,305.9,40,91.77,16,0.3
Restaurant 72,53276.89,6432.5,18637.47,2573,0.349822784
Restaurant 73,9193,2055,2300.3,822,0.250222996
Restaurant 74,4025.3,542.5,1000.69,217,0.248600104
Restaurant 75,44071.05,9092.5,11024.73,3638,0.250158097
Restaurant 76,849.45,112.5,254.93,45,0.300111837
Restaurant 77,16642.7,1520,4999.46,608,0.300399575
Restaurant 78,42735.6,6350,10698.5,2540,0.250341636
Restaurant 79,9470.61,1190,3315.62,476,0.350095717
Restaurant 80,20056.2,2712.5,5035.93,1085,0.251090934
Restaurant 81,1507.8,187.5,378.91,75,0.251299907
Restaurant 82,7566.19,1337.5,2647.85,535,0.349958169
Restaurant 83,10395.65,2585,2605.51,1034,0.25063464
Restaurant 84,7540.9,1565,1886.28,626,0.250139904
Restaurant 85,5389.5,710,1618.95,284,0.300389647
Restaurant 86,1804.05,437.5,450.42,175,0.249671572
Restaurant 87,7344,915,2203.2,366,0.3
Restaurant 88,5770.18,1020,1987.02,408,0.344360141
Restaurant 89,3543.2,540,1078.53,216,0.304394333
Restaurant 90,7810.75,832.5,1953.43,333,0.250095061
Restaurant 91,5053.65,740,1516.74,296,0.300127631
Restaurant 92,4868.35,1355,1741.34,542,0.357685869
Restaurant 93,12763.38,3377.5,2293.74,1351,0.179712584
Restaurant 94,234.56,60,58.7,24,0.250255798
Restaurant 95,1527.5,235,458.25,94,0.3
Restaurant 96,995.25,227.5,298.69,91,0.300115549
Restaurant 97,5323.43,1225,1064.83,490,0.20002705
Restaurant 98,7885.04,2322.5,2761.41,929,0.35020875
Restaurant 99,4948.76,1045,1727.42,418,0.349061179
Restaurant 100,2408.49,555,842.99,222,0.350007681
Restaurant 101,40812.4,4562.5,14282.42,1825,0.349952955
Restaurant 102,166.71,25,58.36,10,0.350068982
Restaurant 103,4895.34,1157.5,1468.65,463,0.300009805
Restaurant 104,183.5,47.5,73.4,19,0.4
Restaurant 105,8744.3,1312.5,2411.65,525,0.275796805
Restaurant 106,3804.2,477.5,1141.71,191,0.30011829
Restaurant 107,1002,172.5,250.62,69,0.25011976
Restaurant 108,21865.4,2695,6388.32,1078,0.292165705
Restaurant 109,78,7.5,19.5,3,0.25
Restaurant 110,639.15,127.5,223.76,51,0.350089963
Restaurant 111,10491.98,1680,2207.69,672,0.210416909
Restaurant 112,7372.05,935,1847.59,374,0.250620926
Restaurant 113,1333.5,227.5,400.05,91,0.3
Restaurant 114,4576.05,402.5,1601.9,161,0.350061734
Restaurant 115,830.35,102.5,249.21,41,0.300126453
Restaurant 116,5888.34,1160,2061.29,464,0.350063006
Restaurant 117,11249.5,1725,3374.85,690,0.3
Restaurant 118,44799.76,6327.5,11211.04,2531,0.250247769
Restaurant 119,42,15,12.6,6,0.3
Restaurant 120,59226.7,6667.5,17777.11,2667,0.300153647
Restaurant 121,32761.8,4190,9833.63,1676,0.300155364
Restaurant 122,14051.45,2917.5,3513.35,1168,0.250034694
Restaurant 123,3627.74,515,1267.87,206,0.349493073
Restaurant 124,3607.95,455,1096.15,182,0.303815186
Restaurant 125,2026.5,367.5,607.95,147,0.3
Restaurant 126,36141.9,4280,10852.4,1712,0.300271983
Restaurant 127,10557.5,1530,2644.76,613,0.250510064
Restaurant 128,6873.35,1565,2067.23,626,0.300760182
Restaurant 129,1436.7,192.5,359.37,77,0.250135728
Restaurant 130,900.6,97.5,225.24,39,0.250099933
Restaurant 131,8966,180,2219,72,0.24749052
Restaurant 132,618.3,70,154.64,28,0.250105127
Restaurant 133,38151,1442.5,9537.18,577,0.249985059
Restaurant 134,2351.1,240,705.45,96,0.30005104
Restaurant 135,1388.5,155,486.12,62,0.350104429
Restaurant 136,1400.8,170,420.24,68,0.3
Restaurant 137,29669.6,2877.5,7439.23,1151,0.25073577
Restaurant 138,80936.7,14585,20244.88,5834,0.250132264
Restaurant 139,40226.4,4005,10064.93,1602,0.250207078
Restaurant 140,13672.35,2167.5,4112.73,867,0.300806372
Restaurant 141,3203.9,325,961.38,130,0.300065545
Restaurant 142,3162.85,442.5,792.56,177,0.250584125
Restaurant 143,538.71,105,161.61,42,0.299994431
Restaurant 144,123.5,20,37.08,8,0.300242915
Restaurant 145,150.5,17.5,45.15,7,0.3
Restaurant 146,1374.85,215,343.9,86,0.250136379
Restaurant 147,6385.1,905,2242.51,362,0.351209848
Restaurant 148,17541.76,3280,5262.05,1312,0.299972751
Restaurant 149,1315,275,333.45,110,0.253574144
Restaurant 150,15332.52,2170,4611.88,868,0.300790738
Restaurant 151,2623.25,282.5,656.2,113,0.250147718
Restaurant 152,45.5,17.5,15.94,7,0.35032967
Restaurant 153,1793,307.5,537.9,123,0.3
Restaurant 154,1098.95,170,381.1,68,0.346785568
Restaurant 155,23254.7011,2547.5,6989.9,1019,0.300580084
Restaurant 156,56571.25,8437.5,14482.32,3375,0.256001414
Restaurant 157,60737.8,6975,18231.13,2790,0.300161185
Restaurant 158,1400.14,272.5,420.17,109,0.300091419
Restaurant 159,127006.7,12160,31776.24,4864,0.250193415
Restaurant 160,8504.01,1027.5,2551.52,411,0.300037277
Restaurant 161,9409.1,1877.5,2353.32,751,0.250111063
Restaurant 162,315.25,60,105.22,24,0.333766852
Restaurant 163,1126.1,257.5,281.68,103,0.250137643
Restaurant 164,742.89,257.5,260.06,103,0.350065286
Restaurant 165,471.36,135,164.98,54,0.350008486
Restaurant 166,1872.23,207.5,562.62,83,0.30050795
Restaurant 167,22769.83,3685,6831.79,1474,0.300036935
Restaurant 168,23859.75,3212.5,5970.05,1285,0.250214273
Restaurant 169,428.5,60,150.03,24,0.350128355
Restaurant 170,14884.2,1837.5,3730.47,735,0.250632886
Restaurant 171,6502.3,680,1626.19,272,0.250094582
Restaurant 172,2739.25,305,686.55,122,0.250634298
Restaurant 173,42946.5,4667.5,10769.63,1867,0.250768514
Restaurant 174,6961.97,1257.5,2437.75,503,0.350152328
Restaurant 175,908.03,152.5,227.11,61,0.250112882
Restaurant 176,3057.6,342.5,917.28,137,0.3
Restaurant 177,209.2,25,62.77,10,0.300047801
Restaurant 178,4831.75,602.5,1685.76,241,0.348892223
Restaurant 179,1116.7,115,335.09,46,0.30007164
Restaurant 180,2619.8,315,917.08,126,0.350057256
Restaurant 181,16635.55,1470,4985.68,588,0.299700341
Restaurant 182,1677.45,227.5,503.47,91,0.300140094
Restaurant 183,4851,715,1454.57,286,0.299849516
Restaurant 184,9932.91,1270,3452.37,508,0.347568839
Restaurant 185,19732.3,975,5919.83,390,0.300007095
Restaurant 186,12749.6,2042.5,3185.05,817,0.24981568
Restaurant 187,16519.8,1830,4961.22,732,0.300319616
Restaurant 188,31.93,15,10.38,6,0.325086126
Restaurant 189,1634.06,247.5,568.66,99,0.348004357
Restaurant 190,14462.35,2585,4342.82,1034,0.300284532
Restaurant 191,4440.24,642.5,1332.72,257,0.300145938
Restaurant 192,3230.4,415,808.33,166,0.250225978
Restaurant 193,10017.45,945,2990.41,378,0.298520082
Restaurant 194,19597.07,2892.5,5878.42,1157,0.299964229
Restaurant 195,12060.6,2195,3623.44,878,0.300436131
Restaurant 196,37757,3610,11335.63,1444,0.300225918
Restaurant 197,4616.25,702.5,1615.93,281,0.350052532
Restaurant 198,4595.3,425,1149.13,170,0.250066372
Restaurant 199,53918.95,5562.5,13484.37,2225,0.250085916
Restaurant 200,9708.36,1745,1939.74,698,0.199800996
Restaurant 201,31198.54,6387.5,6516.67,2555,0.208877403
Restaurant 202,27553.55,5127.5,8272.12,2051,0.300219754
Restaurant 203,15,7.5,6,3,0.4
Restaurant 204,1751.11,280,613.12,112,0.350132202
Restaurant 205,8274.45,1185,2888.26,474,0.349057641
Restaurant 206,14161.6,1472.5,3541.95,590,0.250109451
Restaurant 207,1068.1,145,320.61,58,0.300168524
Restaurant 208,4388.07,937.5,1610.99,375,0.367129513
Restaurant 209,4356.7,527.5,1089.38,211,0.250047054
Restaurant 210,4348.3,687.5,1522.54,275,0.350146034
Restaurant 211,194.25,32.5,48.58,13,0.25009009
Restaurant 212,2010.5,350,502.85,140,0.250111912
Restaurant 213,1533.9,250,537.06,100,0.350127127
Restaurant 214,651.5,55,195.45,22,0.3
Restaurant 215,2648,430,660.61,172,0.249475076
Restaurant 216,8183.44,1862.5,2854.56,745,0.348821522
Restaurant 217,6179,895,1860.51,358,0.30110212
Restaurant 218,6248.88,925,2187.65,370,0.350086736
Restaurant 219,1883.4,455,658.84,182,0.349814166
Restaurant 220,139675.45,16790,34916.75,6716,0.249984876
Restaurant 221,2483.12,315,869.12,126,0.350011276
Restaurant 222,3265.5,765,817.12,306,0.250228143
Restaurant 223,12.48,2.5,3.74,1,0.299679487
Restaurant 224,15948.94,2327.5,5578.21,931,0.349754278
Restaurant 225,394.35,32.5,118.33,13,0.300063395
Restaurant 226,4333.05,460,1300.41,184,0.300114238
Restaurant 227,4719.55,817.5,1174.97,327,0.248958057
Restaurant 228,3815.55,1017.5,683.06,407,0.179020063
Restaurant 229,6057.05,1065,1507.79,426,0.248931411
Restaurant 230,5180.05,410,1813.23,164,0.350041023
Restaurant 231,38.54,5,11.56,2,0.299948106
Restaurant 232,242.4,37.5,60.64,15,0.250165017
Restaurant 233,1164.7,160,291.25,64,0.250064394
Restaurant 234,1852.35,177.5,648.42,71,0.350052636
Restaurant 235,2727.05,265,681.94,106,0.250065089
Restaurant 236,3207.3,810,802.26,324,0.250135628
Restaurant 237,361.05,80,126.41,32,0.350117712
Restaurant 238,56459.25,7277.5,14117.44,2911,0.250046538
Restaurant 239,11701.31,1407.5,3501.6,563,0.299248546
Restaurant 240,702.55,150,210.89,60,0.300177923
Restaurant 241,5040.57,810,1764.28,324,0.35001597
Restaurant 242,35,2.5,12.25,1,0.35
Restaurant 243,3427.68,512.5,1113.95,205,0.32498658
Restaurant 244,8243.66,2612.5,2105.91,1045,0.255458134
Restaurant 245,63.74,20,22.3,8,0.349858801
Restaurant 246,4227.33,702.5,1268.49,281,0.300068838
Restaurant 247,211.1,42.5,63.38,17,0.300236855
Restaurant 248,1745.75,207.5,611.07,83,0.350032937
Restaurant 249,2906.35,692.5,872.98,277,0.30036988
Restaurant 250,911.85,187.5,273.58,75,0.300027417
Restaurant 251,20349.5,1617.5,5091.02,647,0.25017912
Restaurant 252,51184.19,14670,12804.71,5868,0.250169242
Restaurant 253,6840.2,762.5,2055.93,305,0.300565773
Restaurant 254,825.8,200,247.99,80,0.300302737
Restaurant 255,13403.87,1595,4022.63,638,0.300109595
Restaurant 256,115.4,15,28.86,6,0.250086655
Restaurant 257,69.4,7.5,17.35,3,0.25
Restaurant 258,2295,450,688.5,180,0.3
Restaurant 259,1293.51,167.5,454.42,67,0.351307682
Restaurant 260,21895.65,2700,6574.09,1080,0.300246396
Restaurant 261,1439.06,180,503.76,72,0.350061846
Restaurant 262,302.5,37.5,90.75,15,0.3
Restaurant 263,10578.8,1857.5,2716.31,743,0.256769199
Restaurant 264,8685.5,1687.5,2605.65,675,0.3
Restaurant 265,16696.5,1922.5,5010.7,769,0.300104812
Restaurant 266,50623.2,6125,15192.48,2450,0.300109041
Restaurant 267,1041.404,272.5,181.58,109,0.174360767
Restaurant 268,27.74,2.5,6.94,1,0.250180245
Restaurant 269,14595.1,2372.5,2919.02,949,0.2
Restaurant 270,27443.2,3650,6873.63,1460,0.250467511
Restaurant 271,10801.65,1275,2705.93,510,0.250510802
Restaurant 272,8327.95,1132.5,2087.05,453,0.250607893
Restaurant 273,1214.8,252.5,425.35,101,0.350139941
Restaurant 274,3655.99,532.5,1279.94,213,0.350093955
Restaurant 275,213.4,50,74.74,20,0.350234302
Restaurant 276,2929.15,942.5,1026.14,377,0.350320059
Restaurant 277,12062.08,2112.5,3008.96,845,0.249456147
Restaurant 278,10849.45,1402.5,3747.29,561,0.345389858
Restaurant 279,457,67.5,160,27,0.350109409
Restaurant 280,1103.82,32.5,331.16,13,0.300012683
Restaurant 281,7159.45,1635,2149.7,654,0.300260495
Restaurant 282,6315.4,1490,1892.04,596,0.299591475
Restaurant 283,351.5,45,105.45,18,0.3
Restaurant 284,25658.7,4765,5470.46,1906,0.213200981
Restaurant 285,196.1,42.5,49.05,17,0.250127486
Restaurant 286,24314.25,4422.5,5196.26,1769,0.213712535
Restaurant 287,4943.1,540,1730.28,216,0.350039449
Restaurant 288,38,2.5,13.3,1,0.35
Restaurant 289,14214.5,1725,3555.42,690,0.25012628
Restaurant 290,4577.88,985,916.4,394,0.200179996
Restaurant 291,462.55,72.5,161.95,29,0.350124311
Restaurant 292,11681.5,2097.5,3502.29,839,0.299815092
Restaurant 293,12430.5,1107.5,3108.95,443,0.250106593
Restaurant 294,12835.32,2020,3852.73,808,0.30016626
Restaurant 295,829.07,185,248.61,74,0.299866115
